title,authors,year,source,paper,citations no.
A survey on machine-learning techniques in cognitive radios,"M Bkassiny, Y Li, SK Jayaweera",2012,https://ieeexplore.ieee.org/abstract/document/6336689/,https://romisatriawahono.net/lecture/rm/survey/machine%20learning/Bkassiny%20-%20Machine-Learning%20Techniques%20-%202013.pdf,553
Text classification using machine learning techniques.,"M Ikonomakis, S Kotsiantis, V Tampakas",2005,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.95.9153&rep=rep1&type=pdf,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.95.9153&rep=rep1&type=pdf,553
Machine learning algorithms-a review,B Mahesh,2020,https://www.researchgate.net/profile/Batta-Mahesh/publication/344717762_Machine_Learning_Algorithms_-A_Review/links/5f8b2365299bf1b53e2d243a/Machine-Learning-Algorithms-A-Review.pdf,https://www.researchgate.net/profile/Batta-Mahesh/publication/344717762_Machine_Learning_Algorithms_-A_Review/links/5f8b2365299bf1b53e2d243a/Machine-Learning-Algorithms-A-Review.pdf,552
An introduction to machine learning,"M Kubat, Kubat",2017,https://link.springer.com/content/pdf/10.1007/978-3-030-81935-4.pdf,http://repository.psa.edu.my/xmlui/bitstream/handle/123456789/1996/2017_Book_AnIntroductionToMachineLearnin.pdf?sequence=1&isAllowed=y,552
Application of machine learning to epileptic seizure detection,"AH Shoeb, JV Guttag",2010,https://openreview.net/forum?id=S1WjLoZu-r,https://openreview.net/pdf?id=S1WjLoZu-r,552
Statistics versus machine learning,H Ij,2018,https://www.nature.com/articles/nmeth.4642.pdf?origin=ppub,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6082636/,550
Machine learning and deep learning methods for cybersecurity,"Y Xin, L Kong, Z Liu, Y Chen, Y Li, H Zhu, M Gao…",2018,https://ieeexplore.ieee.org/abstract/document/8359287/,https://ieeexplore.ieee.org/iel7/6287639/6514899/08359287.pdf,549
Lifelong machine learning,"Z Chen, B Liu",2018,https://www.morganclaypool.com/doi/abs/10.2200/S00832ED1V01Y201802AIM037,https://www.cs.uic.edu/~liub/lifelong-machine-learning-draft.pdf,548
A survey of machine learning for big code and naturalness,"M Allamanis, ET Barr, P Devanbu…",2018,https://dl.acm.org/doi/abs/10.1145/3212695,https://dl.acm.org/doi/pdf/10.1145/3212695,545
Application of machine learning techniques for supply chain demand forecasting,"R Carbonneau, K Laframboise, R Vahidov",2008,https://www.sciencedirect.com/science/article/pii/S0377221706012057,https://www.academia.edu/download/50837650/Application_of_machine_learning_techniqu20161211-20061-1tgykkg.pdf,543
Machine learning for information extraction in informal domains,D Freitag,2000,https://link.springer.com/article/10.1023/A:1007601113994,https://link.springer.com/content/pdf/10.1023/A:1007601113994.pdf,543
Machine learning interpretability: A survey on methods and metrics,"DV Carvalho, EM Pereira, JS Cardoso",2019,https://www.mdpi.com/2079-9292/8/8/832,https://www.mdpi.com/2079-9292/8/8/832/pdf,542
Unintended consequences of machine learning in medicine,"F Cabitza, R Rasoini, GF Gensini",2017,https://jamanetwork.com/journals/jama/article-abstract/2645762,https://www.broomedocs.com/wp-content/uploads/2017/11/Machine-learnign-cabitza2017.pdf,542
Machine learning on big data: Opportunities and challenges,"L Zhou, S Pan, J Wang, AV Vasilakos",2017,https://www.sciencedirect.com/science/article/pii/S0925231217300577,https://www.sciencedirect.com/science/article/am/pii/S0925231217300577,537
Quantum algorithms for supervised and unsupervised machine learning,"S Lloyd, M Mohseni, P Rebentrost",2013,https://arxiv.org/abs/1307.0411,https://arxiv.org/pdf/1307.0411&hl=en&sa=X&scisig=AAGBfm0QmWkQXwoXvu9qCrKlsV6KYSisRQ&nossl=1&oi=scholarr&ved=0ahUKEwiM4-O7tdTJAhXKC44KHaB3B0AQgAMIKSgBMAA,537
Orange: From experimental machine learning to interactive data mining,"J Demšar, B Zupan, G Leban, T Curk",2004,https://link.springer.com/chapter/10.1007/978-3-540-30116-5_58,https://link.springer.com/content/pdf/10.1007/978-3-540-30116-5_58.pdf,536
Quantum machine learning in feature hilbert spaces,"M Schuld, N Killoran",2019,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.122.040504,https://arxiv.org/pdf/1803.07128,534
The measure and mismeasure of fairness: A critical review of fair machine learning,"S Corbett-Davies, S Goel",2018,https://arxiv.org/abs/1808.00023,"https://arxiv.org/pdf/1808.00023.pdf,",531
Machine learning for combinatorial optimization: a methodological tour d'horizon,"Y Bengio, A Lodi, A Prouvost",2021,https://www.sciencedirect.com/science/article/pii/S0377221720306895,https://arxiv.org/pdf/1811.06128,530
Scaling up machine learning: Parallel and distributed approaches,"R Bekkerman, M Bilenko, J Langford",2011,https://books.google.com/books?hl=en&lr=lang_en&id=9u0gAwAAQBAJ&oi=fnd&pg=PR11&dq=machine+learning&ots=ly_YL-9CmD&sig=NQF_qJ3jwoJQVIcvAu97rgh3P4k,https://sisis.rz.htw-berlin.de/inh2012/12422753.pdf,528
Machine learning for aerial image labeling,V Mnih,2013,https://search.proquest.com/openview/215c1c8c5424a6facf8885f4ac00c575/1?pq-origsite=gscholar&cbl=18750,https://central.bac-lac.gc.ca/.item?id=TC-OTU-35911&op=pdf&app=Library&oclc_number=1032987428,526
Machine-learning approaches in drug discovery: methods and applications,A Lavecchia,2015,https://www.sciencedirect.com/science/article/pii/S1359644614004176,http://csmres.co.uk/cs.public.upd/article-downloads/Machine-learning-approaches-in-drug-discovery-methods-and-applications.pdf,524
Flood prediction using machine learning models: Literature review,"A Mosavi, P Ozturk, K Chau",2018,https://www.mdpi.com/357544,https://www.mdpi.com/2073-4441/10/11/1536/pdf,522
Artificial neural networks-based machine learning for wireless networks: A tutorial,"M Chen, U Challita, W Saad, C Yin…",2019,https://ieeexplore.ieee.org/abstract/document/8755300/,https://ieeexplore.ieee.org/ielaam/9739/8915915/8755300-aam.pdf,518
Usilng machine learning technliques to identify botnet traffic,"C Livadas, R Walsh, D Lapsley…",2006,https://ieeexplore.ieee.org/abstract/document/4116687/,https://www.researchgate.net/profile/Carl-Livadas/publication/224762079_Usilng_Machine_Learning_Technliques_to_Identify_Botnet_Traffic/links/00b4952de8ec779dff000000/Usilng-Machine-Learning-Technliques-to-Identify-Botnet-Traffic.pdf,518
Machine learning and data mining,"I Kononenko, M Kukar",2007,https://books.google.com/books?hl=en&lr=lang_en&id=G_rgpjsnsG8C&oi=fnd&pg=PR15&dq=machine+learning&ots=_Kqh2kP004&sig=v9k21IqSz7bP8EfWkXuFc495DLQ,n/a,517
Explanation and justification in machine learning: A survey,"O Biran, C Cotton",2017,http://www.cs.columbia.edu/~orb/papers/xai_survey_paper_2017.pdf,http://www.cs.columbia.edu/~orb/papers/xai_survey_paper_2017.pdf,517
Machine learning methods for histopathological image analysis,"D Komura, S Ishikawa",2018,https://www.sciencedirect.com/science/article/pii/S2001037017300867,https://www.sciencedirect.com/science/article/pii/S2001037017300867,517
Next-generation machine learning for biological networks,"DM Camacho, KM Collins, RK Powers, JC Costello…",2018,https://www.sciencedirect.com/science/article/pii/S0092867418305920,https://www.sciencedirect.com/science/article/pii/S0092867418305920,516
Ilastik: interactive machine learning for (bio) image analysis,"S Berg, D Kutra, T Kroeger, CN Straehle, BX Kausler…",2019,https://www.nature.com/articles/s41592-019-0582-9,https://archiv.ub.uni-heidelberg.de/volltextserver/28283/7/Berg_ilastik_2020.pdf,516
Machine learning and law,H Surden,2014,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/washlr89&section=7,https://scholar.law.colorado.edu/cgi/viewcontent.cgi?article=1088&context=articles,515
A systematic review of machine learning techniques for software fault prediction,R Malhotra,2015,https://www.sciencedirect.com/science/article/pii/S1568494614005857,n/a,512
Information extraction from HTML: Application of a general machine learning approach,D Freitag,1998,https://www.aaai.org/Papers/AAAI/1998/AAAI98-073.pdf,https://www.aaai.org/Papers/AAAI/1998/AAAI98-073.pdf,511
ML confidential: Machine learning on encrypted data,"T Graepel, K Lauter, M Naehrig",2012,https://link.springer.com/chapter/10.1007/978-3-642-37682-5_1,https://eprint.iacr.org/2012/323.pdf,509
Readings in machine learning,"JW Shavlik, T Dietterich, TG Dietterich",1990,https://books.google.com/books?hl=en&lr=lang_en&id=UgC33U2KMCsC&oi=fnd&pg=PA1&dq=machine+learning&ots=Thkghf7Koa&sig=kOm_HcDPpurQgQoIfpa2l97Ycgw,n/a,504
Efficient machine learning for big data: A review,"OY Al-Jarrah, PD Yoo, S Muhaidat, GK Karagiannidis…",2015,https://www.sciencedirect.com/science/article/pii/S2214579615000271,https://arxiv.org/pdf/1503.05296,500
The impact of machine learning on economics,S Athey,2018,https://www.degruyter.com/document/doi/10.7208/9780226613475/pdf#page=511,https://www.nber.org/system/files/chapters/c14009/c14009.pdf,496
Data mining and machine learning in cybersecurity,"S Dua, X Du",2016,https://books.google.com/books?hl=en&lr=lang_en&id=1-FY-U30lUYC&oi=fnd&pg=PP1&dq=machine+learning&ots=cGJfC4Rgka&sig=8z0TJ5WiYjQOXia1Hoib4Of_NIQ,n/a,486
Using machine learning to focus iterative optimization,"F Agakov, E Bonilla, J Cavazos…",2006,https://ieeexplore.ieee.org/abstract/document/1611549/,http://www.eecis.udel.edu/~cavazos/cgo-2006-talk.pdf,485
Machine learning strategies for time series forecasting,"G Bontempi, S Ben Taieb, YAL Borgne",2012,https://link.springer.com/chapter/10.1007/978-3-642-36318-4_3,https://www.academia.edu/download/41231210/Machine_Learning_Strategies_for_Time_Ser20160114-28513-1pqgoe9.pdf20160115-19908-phg1xc.pdf,485
Machine learning: A theoretical approach,BK Natarajan,1991,https://dl.acm.org/doi/abs/10.5555/116374,n/a,483
Potential biases in machine learning algorithms using electronic health record data,"MA Gianfrancesco, S Tamang, J Yazdany…",2018,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/2697394,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6347576/,480
A hybrid machine learning approach to network anomaly detection,"T Shon, J Moon",2007,https://www.sciencedirect.com/science/article/pii/S0020025507001648,https://www.academia.edu/download/34903185/A_hybrid_machine_learning_approach_to_network_anomaly_detection.pdf,475
Open-source machine learning: R meets Weka,"K Hornik, C Buchta, A Zeileis",2009,https://link.springer.com/article/10.1007/s00180-008-0119-7,https://epub.wu.ac.at/1188/1/document.pdf,475
"Data Mining Using
a Machine Learning Library in C++","R Kohavi, D Sommerfield…",1997,https://www.worldscientific.com/doi/abs/10.1142/S021821309700027X,https://ai.stanford.edu/~ronnyk/mlcj.pdf,474
Robust physical-world attacks on machine learning models,"I Evtimov, K Eykholt, E Fernandes…",2017,https://s3.observador.pt/wp-content/uploads/2017/08/08133934/1707-08945.pdf,https://s3.observador.pt/wp-content/uploads/2017/08/08133934/1707-08945.pdf,471
Effective heart disease prediction using hybrid machine learning techniques,"S Mohan, C Thirumalai, G Srivastava",2019,https://ieeexplore.ieee.org/abstract/document/8740989/,https://ieeexplore.ieee.org/iel7/6287639/8600701/08740989.pdf,465
Finding density functionals with machine learning,"JC Snyder, M Rupp, K Hansen, KR Müller, K Burke",2012,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.108.253002,https://arxiv.org/pdf/1112.5441,462
Manipulating machine learning: Poisoning attacks and countermeasures for regression learning,"M Jagielski, A Oprea, B Biggio, C Liu…",2018,https://ieeexplore.ieee.org/abstract/document/8418594/,https://arxiv.org/pdf/1804.00308,456
"Definitions, methods, and applications in interpretable machine learning","WJ Murdoch, C Singh, K Kumbier…",2019,https://www.pnas.org/content/116/44/22071.short,https://www.pnas.org/content/pnas/116/44/22071.full.pdf,452
Towards the science of security and privacy in machine learning,"N Papernot, P McDaniel, A Sinha…",2016,https://arxiv.org/abs/1611.03814,https://arxiv.org/pdf/1611.03814.pdf?ref=https://githubhelp.com,450
Machine learning unifies the modeling of materials and molecules,"AP Bartók, S De, C Poelking, N Bernstein…",2017,https://www.science.org/doi/abs/10.1126/sciadv.1701816,https://www.science.org/doi/full/10.1126/sciadv.1701816,449
Prediction of organic reaction outcomes using machine learning,"CW Coley, R Barzilay, TS Jaakkola, WH Green…",2017,https://pubs.acs.org/doi/abs/10.1021/acscentsci.7b00064,https://pubs.acs.org/doi/pdf/10.1021/acscentsci.7b00064,449
Building machine learning and deep learning models on Google cloud platform: A comprehensive guide for beginners,E Bisong,2019,https://books.google.com/books?hl=en&lr=lang_en&id=x5CyDwAAQBAJ&oi=fnd&pg=PR5&dq=machine+learning&ots=WCv6-nhhPo&sig=f_8ekbnbrtrtfja32-WjMx1iwQE,n/a,448
Using machine learning to detect cyberbullying,"K Reynolds, A Kontostathis…",2011,https://ieeexplore.ieee.org/abstract/document/6147681/,https://www.academia.edu/download/34680127/ReynoldsKontostathisEdwardsFINAL.pdf,448
"Statistics, data mining, and machine learning in astronomy","Ž Ivezić, AJ Connolly, JT VanderPlas…",2014,https://www.degruyter.com/document/doi/10.1515/9781400848911/html?lang=en,https://www.degruyter.com/document/doi/10.1515/9781400848911/html,445
Factorizing yago: scalable machine learning for linked data,"M Nickel, V Tresp, HP Kriegel",2012,https://dl.acm.org/doi/abs/10.1145/2187836.2187874,http://www.dbs.ifi.lmu.de/~tresp/papers/p271.pdf,442
Density ratio estimation in machine learning,"M Sugiyama, T Suzuki, T Kanamori",2012,https://books.google.com/books?hl=en&lr=lang_en&id=NOQHkhcFJ0oC&oi=fnd&pg=PR5&dq=machine+learning&ots=Qtj8_-riRD&sig=vr-KntNAuGOfF702AA0mQJWcThk,https://yosinski.com/mlss12/MLSS-2012-Sugiyama-Density-Ratio-Estimation-in-Machine-Learning/,442
Machine learning methods that economists should know about,"S Athey, GW Imbens",2019,https://www.annualreviews.org/doi/abs/10.1146/annurev-economics-080217-053433,https://www.annualreviews.org/doi/full/10.1146/annurev-economics-080217-053433,433
Pareto-based multiobjective machine learning: An overview and case studies,"Y Jin, B Sendhoff",2008,https://ieeexplore.ieee.org/abstract/document/4492360/,https://moodle.utc.fr/pluginfile.php/181119/course/section/16300/Pareo_MOO-based_MachineLearning2008.pdf,431
Machine learning: the new AI,E Alpaydin,2016,https://books.google.com/books?hl=en&lr=lang_en&id=ylE4DQAAQBAJ&oi=fnd&pg=PR5&dq=machine+learning&ots=S7gJ3ppBWI&sig=O3iX27-I5F0NzHlaJqrXVVHc5Zo,n/a,430
Hyperparameter search in machine learning,"M Claesen, B De Moor",2015,https://arxiv.org/abs/1502.02127,https://arxiv.org/pdf/1502.02127,428
Current applications and future impact of machine learning in radiology,"G Choy, O Khalilzadeh, M Michalski, S Do, AE Samir…",2018,https://pubs.rsna.org/doi/abs/10.1148/radiol.2018171820,https://pubs.rsna.org/doi/pdf/10.1148/radiol.2018171820,420
MLbase: A Distributed Machine-learning System.,"T Kraska, A Talwalkar, JC Duchi, R Griffith, MJ Franklin…",2013,http://cidrdb.org/cidr2013/Papers/CIDR13_Paper118.pdf,http://cidrdb.org/cidr2013/Papers/CIDR13_Paper118.pdf,420
Regulating by robot: Administrative decision making in the machine-learning era,"C Coglianese, D Lehr",2016,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/glj105&section=37,https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=2736&context=faculty_scholarship,420
Principles and theory for data mining and machine learning,"B Clarke, E Fokoue, HH Zhang",2009,https://link.springer.com/book/10.1007/978-0-387-98135-2,n/a,419
Tuning metaheuristics: a machine learning perspective,"M Birattari, J Kacprzyk",2009,https://link.springer.com/content/pdf/10.1007/978-3-642-00483-4.pdf,https://pdfcoffee.com/download/tuning-metaheuristicspdf-pdf-free.html,416
Applications of machine learning to cognitive radio networks,"C Clancy, J Hecker, E Stuntebeck…",2007,https://ieeexplore.ieee.org/abstract/document/4300983/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.145.2762&rep=rep1&type=pdf,415
Dropout prediction in e-learning courses through the combination of machine learning techniques,"I Lykourentzou, I Giannoukos, V Nikolopoulos…",2009,https://www.sciencedirect.com/science/article/pii/S0360131509001249,https://www.academia.edu/download/51080733/j.compedu.2009.05.01020161227-1271-y2s8au.pdf,412
Survey of machine learning algorithms for disease diagnostic,"M Fatima, M Pasha",2017,https://www.scirp.org/html/1-9601348_73781.htm,https://www.scirp.org/html/1-9601348_73781.htm,410
A machine learning approach to android malware detection,"J Sahs, L Khan",2012,https://ieeexplore.ieee.org/abstract/document/6298824/,http://csis.pace.edu/ctappert/dps/2012EISIC/data/4782a141.pdf,403
The hundred-page machine learning book,A Burkov,2019,https://order-papers.com/sites/default/files/tmp/webform/order_download/pdf-the-hundred-page-machine-learning-book-andriy-burkov-pdf-download-free-book-d835289.pdf,https://order-papers.com/sites/default/files/tmp/webform/order_download/pdf-the-hundred-page-machine-learning-book-andriy-burkov-pdf-download-free-book-d835289.pdf,400
An overview on application of machine learning techniques in optical networks,"F Musumeci, C Rottondi, A Nag…",2018,https://ieeexplore.ieee.org/abstract/document/8527529/,https://arxiv.org/pdf/1803.07976,398
Adversarial attacks on medical machine learning,"SG Finlayson, JD Bowers, J Ito, JL Zittrain, AL Beam…",2019,https://www.science.org/doi/abs/10.1126/science.aaw4399,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7657648/,395
Software engineering for machine learning: A case study,"S Amershi, A Begel, C Bird, R DeLine…",2019,https://ieeexplore.ieee.org/abstract/document/8804457/,https://www.microsoft.com/en-us/research/uploads/prod/2019/03/amershi-icse-2019_Software_Engineering_for_Machine_Learning.pdf,392
Machine learning approaches for clinical psychology and psychiatry,"DB Dwyer, P Falkai…",2018,https://www.annualreviews.org/doi/abs/10.1146/annurev-clinpsy-032816-045037,n/a,391
From machine learning to deep learning: progress in machine intelligence for rational drug discovery,"L Zhang, J Tan, D Han, H Zhu",2017,https://www.sciencedirect.com/science/article/pii/S1359644616304366,n/a,390
Guidelines for developing and reporting machine learning predictive models in biomedical research: a multidisciplinary view,"W Luo, D Phung, T Tran, S Gupta, S Rana…",2016,https://www.jmir.org/2016/12/e323/,https://www.jmir.org/2016/12/e323/,389
Artificial intelligence and machine learning to fight COVID-19,"A Alimadadi, S Aryal, I Manandhar…",2020,https://journals.physiology.org/doi/abs/10.1152/physiolgenomics.00029.2020,https://journals.physiology.org/doi/full/10.1152/physiolgenomics.00029.2020,387
How to represent crystal structures for machine learning: Towards fast prediction of electronic properties,"KT Schütt, H Glawe, F Brockherde, A Sanna, KR Müller…",2014,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.89.205118,https://arxiv.org/pdf/1307.1266,387
Sentiment analysis in twitter using machine learning techniques,"MS Neethu, R Rajasree",2013,https://ieeexplore.ieee.org/abstract/document/6726818/,n/a,387
A very brief introduction to machine learning with applications to communication systems,O Simeone,2018,https://ieeexplore.ieee.org/abstract/document/8542764/,https://ieeexplore.ieee.org/iel7/6687307/7294639/08542764.pdf,386
An application of machine learning to network intrusion detection,"C Sinclair, L Pierce, S Matzner",1999,https://ieeexplore.ieee.org/abstract/document/816048/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.120.7500&rep=rep1&type=pdf,383
Machine learning for precision psychiatry: opportunities and challenges,"D Bzdok, A Meyer-Lindenberg",2018,https://www.sciencedirect.com/science/article/pii/S2451902217302069,https://hal.archives-ouvertes.fr/hal-01643933/file/bzdok_meyerlindenberg_2018_BP.pdf,382
Big data and machine learning algorithms for health-care delivery,"KY Ngiam, W Khor",2019,https://www.sciencedirect.com/science/article/pii/S1470204519301494,n/a,379
The application of machine learning to structural health monitoring,"K Worden, G Manson",2007,https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2006.1938,https://www.researchgate.net/profile/Graeme-Manson/publication/6549210_The_application_fo_machine_learning_to_structural_healt_monitoring/links/57ea435208aef8bfcc990066/The-application-fo-machine-learning-to-structural-healt-monitoring.pdf,378
Introduction to machine learning: k-nearest neighbors,Z Zhang,2016,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4916348/,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4916348/,378
Predicting the price of bitcoin using machine learning,"S McNally, J Roche, S Caton",2018,https://ieeexplore.ieee.org/abstract/document/8374483/,https://e-tarjome.com/storage/panel/fileuploads/2022-05-02/1651482005_e16285.pdf,378
ABY3 A Mixed Protocol Framework for Machine Learning,"P Mohassel, P Rindal",2018,https://dl.acm.org/doi/abs/10.1145/3243734.3243760,https://eprint.iacr.org/2018/403.pdf,377
TPOT: A tree-based pipeline optimization tool for automating machine learning,"RS Olson, JH Moore",2016,https://proceedings.mlr.press/v64/olson_tpot_2016,http://proceedings.mlr.press/v64/olson_tpot_2016.pdf,377
Incorporating prior information in machine learning by creating virtual examples,"P Niyogi, F Girosi, T Poggio",1998,https://ieeexplore.ieee.org/abstract/document/726787/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.43.9531&rep=rep1&type=pdf,375
Machine learning methods in the environmental sciences: Neural networks and kernels,WW Hsieh,2009,https://books.google.com/books?hl=en&lr=lang_en&id=z_LIZwiKA3EC&oi=fnd&pg=PR9&dq=machine+learning&ots=AljfuL1zFN&sig=esPK4xM2WndS4sIwt-uVwLssLk8,https://asset-pdf.scinapse.io/prod/621480186/621480186.pdf,374
Global discretization of continuous attributes as preprocessing for machine learning,"MR Chmielewski, JW Grzymala-Busse",1996,https://www.sciencedirect.com/science/article/pii/S0888613X96000746,https://www.sciencedirect.com/science/article/pii/S0888613X96000746/pdf?md5=d45c0b75d778fa00d5d95d6e0b5d6fd7&pid=1-s2.0-S0888613X96000746-main.pdf&_valck=1,374
A comparative study of fairness-enhancing interventions in machine learning,"SA Friedler, C Scheidegger…",2019,https://dl.acm.org/doi/abs/10.1145/3287560.3287589,https://arxiv.org/pdf/1802.04422.pdf?ref=https://githubhelp.com,373
Physics-informed machine learning,"GE Karniadakis, IG Kevrekidis, L Lu…",2021,https://www.nature.com/articles/s42254-021-00314-5,https://www.brown.edu/research/projects/crunch/sites/brown.edu.research.projects.crunch/files/uploads/Nature-REviews_GK.pdf,373
Machine learning methods in chemoinformatics,JBO Mitchell,2014,https://onlinelibrary.wiley.com/doi/pdf/10.1002/wcms.1183,https://onlinelibrary.wiley.com/doi/pdf/10.1002/wcms.1183,372
The geometry of ROC space: understanding machine learning metrics through ROC isometrics,PA Flach,2003,https://www.aaai.org/Papers/ICML/2003/ICML03-028.pdf,https://www.aaai.org/Papers/ICML/2003/ICML03-028.pdf,371
A systematic literature review of machine learning methods applied to predictive maintenance,"TP Carvalho, FA Soares, R Vita, RP Francisco…",2019,https://www.sciencedirect.com/science/article/pii/S0360835219304838,n/a,371
Machine learning in medicine: a practical introduction,"JAM Sidey-Gibbons, CJ Sidey-Gibbons",2019,https://link.springer.com/article/10.1186/s12874-019-0681-4,https://link.springer.com/article/10.1186/s12874-019-0681-4,369
A survey on data collection for machine learning: a big data-ai integration perspective,"Y Roh, G Heo, SE Whang",2019,https://ieeexplore.ieee.org/abstract/document/8862913/,https://arxiv.org/pdf/1811.03402,369
"Machine learning testing: Survey, landscapes and horizons","JM Zhang, M Harman, L Ma…",2020,https://ieeexplore.ieee.org/abstract/document/9000651/,https://arxiv.org/pdf/1906.10742.pdf?ref=https://githubhelp.com,368
Machine learning for science: state of the art and future prospects,"E Mjolsness, D DeCoste",2001,https://www.science.org/doi/abs/10.1126/science.293.5537.2051,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1079.2602&rep=rep1&type=pdf,367
A review of supervised machine learning algorithms,"A Singh, N Thakur, A Sharma",2016,https://ieeexplore.ieee.org/abstract/document/7724478/,n/a,365
Pudiannao: A polyvalent machine learning accelerator,"D Liu, T Chen, S Liu, J Zhou, S Zhou, O Teman…",2015,https://dl.acm.org/doi/abs/10.1145/2786763.2694358,n/a,364
Genetic Algorithms as a Tool for Feature Selection in Machine Learning.,"H Vafaie, KA De Jong",1992,https://www.researchgate.net/profile/Kenneth-De-Jong/publication/2722353_Genetic_Algorithms_as_a_Tool_for_Feature_Selection_in_Machine_Learning/links/09e41510956a7d0528000000/Genetic-Algorithms-as-a-Tool-for-Feature-Selection-in-Machine-Learning.pdf,https://www.researchgate.net/profile/Kenneth-De-Jong/publication/2722353_Genetic_Algorithms_as_a_Tool_for_Feature_Selection_in_Machine_Learning/links/09e41510956a7d0528000000/Genetic-Algorithms-as-a-Tool-for-Feature-Selection-in-Machine-Learning.pdf,364
Improving fairness in machine learning systems: What do industry practitioners need?,"K Holstein, J Wortman Vaughan, H Daumé III…",2019,https://dl.acm.org/doi/abs/10.1145/3290605.3300830,https://arxiv.org/pdf/1812.05239,364
Scikit-learn: Machine learning without learning the machinery,"G Varoquaux, L Buitinck, G Louppe, O Grisel…",2015,https://dl.acm.org/doi/abs/10.1145/2786984.2786995,http://www.paris-bigdata.org/2017/slides/varoquaux.pdf,360
Guest editors' introduction: On applied research in machine learning,"F Provost, R Kohavi",1998,https://www.academia.edu/download/40088606/Guest_Editors_Introduction_On_Applied_R20151116-31348-ccsgqm.pdf,https://www.academia.edu/download/40088606/Guest_Editors_Introduction_On_Applied_R20151116-31348-ccsgqm.pdf,355
The SHOGUN machine learning toolbox,"S Sonnenburg, G Rätsch, S Henschel, C Widmer…",2010,https://www.jmlr.org/papers/volume11/sonnenburg10a/sonnenburg10a.pdf,https://www.jmlr.org/papers/volume11/sonnenburg10a/sonnenburg10a.pdf,354
Pattern recognition and machine learning,Y Anzai,2012,https://books.google.com/books?hl=en&lr=lang_en&id=3RxQmtJnH5YC&oi=fnd&pg=PP1&dq=machine+learning&ots=MBfuj8yx1N&sig=CzTWn4bSQ4MjsSTQk7NE388BZYw,n/a,353
Machine learning: hands-on for developers and technical professionals,J Bell,2020,https://books.google.com/books?hl=en&lr=lang_en&id=-p_ODwAAQBAJ&oi=fnd&pg=PR27&dq=machine+learning&ots=mLfuhiU9zZ&sig=XAfYviKz7WiqQZHqNIJWZlvH7-w,n/a,353
Machine learning in medical imaging,"MN Wernick, Y Yang, JG Brankov…",2010,https://ieeexplore.ieee.org/abstract/document/5484160/,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4220564/,352
Comparing different supervised machine learning algorithms for disease prediction,"S Uddin, A Khan, ME Hossain, MA Moni",2019,https://link.springer.com/article/10.1186/s12911-019-1004-8,https://link.springer.com/article/10.1186/s12911-019-1004-8,352
Pylearn2: a machine learning research library,"IJ Goodfellow, D Warde-Farley, P Lamblin…",2013,https://arxiv.org/abs/1308.4214,https://arxiv.org/pdf/1308.4214,351
Data mining and machine learning in astronomy,"NM Ball, RJ Brunner",2010,https://www.worldscientific.com/doi/abs/10.1142/S0218271810017160,https://arxiv.org/pdf/0906.2173,351
Machine learning and deep learning frameworks and libraries for large-scale data mining: a survey,"G Nguyen, S Dlugolinsky, M Bobák, V Tran…",2019,https://link.springer.com/article/10.1007/s10462-018-09679-z,https://link.springer.com/article/10.1007/s10462-018-09679-z,348
Stealing hyperparameters in machine learning,"B Wang, NZ Gong",2018,https://ieeexplore.ieee.org/abstract/document/8418595/,https://arxiv.org/pdf/1802.05351,348
Machine learning algorithm validation with a limited sample size,"A Vabalas, E Gowen, E Poliakoff, AJ Casson",2019,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224365,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224365,347
A detailed analysis on NSL-KDD dataset using various machine learning techniques for intrusion detection,"S Revathi, A Malathi",2013,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.680.6760&rep=rep1&type=pdf,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.680.6760&rep=rep1&type=pdf,346
"Machine learning for networking: Workflow, advances and opportunities","M Wang, Y Cui, X Wang, S Xiao, J Jiang",2017,https://ieeexplore.ieee.org/abstract/document/8121867/,https://arxiv.org/pdf/1709.08339,345
